Program,Category
Actuarial Science (PG),act sc pg
Actuarial Science (UG),act sc ug
Applied Sciences (PG),applied sc pg
Applied Sciences (UG),applied sc ug
Architecture (PG),archi pg
Architecture (UG),archi ug
Business (PG),business pg
Business (UG),business ug
Engineering (PG),engineering pg
Engineering (UG),engineering ug
FMHS (PG),fmhs pg
FMHS (UG),opto ug
FMHS (UG) - Nursing,nursing ug
FOSSLA (PG),fossla pg
FOSSLA (UG),fossla ug
Foundation in Arts,found art
Foundation in Science,found science
FPS (PG),
FPS (UG),formula sc
GBS (PG),gbs pg
Hospitality (PG),hospitality pg
Hospitality (UG),hospitality ug
IASDA (PG),iasda pg
IASDA (UG),
ICAD (PG),icad pg
ICAD (UG),icad ug
IMUS (PG),imus pg
IMUS (UG),imus ug
IT (PG),it pg
IT (UG),it ug
