Programme Code,Category,Program
PDAMS,act sc pg,Actuarial Science (PG)
PGBAMb-C,act sc pg,Actuarial Science (PG)
PGBAMb-B,act sc pg,Actuarial Science (PG)
PGBAM-B,act sc pg,Actuarial Science (PG)
PGBAM-C,act sc pg,Actuarial Science (PG)
PGBMS,act sc pg,Actuarial Science (PG)
BCBAS,act sc ug,Actuarial Science (UG)
BCBSF,act sc ug,Actuarial Science (UG)
BCLAD,act sc ug,Actuarial Science (UG)
PDAPH,applied sc pg,Applied Sciences (PG)
VYAR,applied sc pg,Applied Sciences (PG)
VYAM,applied sc pg,Applied Sciences (PG)
VYAB,applied sc pg,Applied Sciences (PG)
VYAF,applied sc pg,Applied Sciences (PG)
PGANM,applied sc pg,Applied Sciences (PG)
BCAAM,applied sc ug,Applied Sciences (UG)
BCANU,applied sc ug,Applied Sciences (UG)
BCAAS,applied sc ug,Applied Sciences (UG)
BCAFN2,applied sc ug,Applied Sciences (UG)
BCAFC,applied sc ug,Applied Sciences (UG)
BCABI,applied sc ug,Applied Sciences (UG)
DIAEP,applied sc ug,Applied Sciences (UG)
BCANW,applied sc ug,Applied Sciences (UG)
PDRAT,archi pg,Architecture (PG)
PGRAT,archi pg,Architecture (PG)
PGEBE,archi pg,Architecture (PG)
UIAIA,archi ug,Architecture (UG)
MCRAT,archi ug,Architecture (UG)
BCRIA,archi ug,Architecture (UG)
BCEQS,archi ug,Architecture (UG)
BCRAT,archi ug,Architecture (UG)
DIAAS,archi ug,Architecture (UG)
UIAAS,archi ug,Architecture (UG)
DIAIA,archi ug,Architecture (UG)
PGBSC,business pg,Business (PG)
PGBSCb,business pg,Business (PG)
VYOG,business pg,Business (PG)
VYGL,business pg,Business (PG)
BCBBV,business ug,Business (UG)
BCBEP,business ug,Business (UG)
BCBSC,business ug,Business (UG)
UMMAC,business ug,Business (UG)
BCBAC,business ug,Business (UG)
BCBAF,business ug,Business (UG)
UMIAF,business ug,Business (UG)
BCBBA,business ug,Business (UG)
UMBBA,business ug,Business (UG)
HYHCs,business ug,Business (UG)
BCBBM,business ug,Business (UG)
UMMBM,business ug,Business (UG)
BCBLM,business ug,Business (UG)
HYOG,business ug,Business (UG)
BCBAFs,business ug,Business (UG)
BCBBMs,business ug,Business (UG)
BCBFE,business ug,Business (UG)
BCBFT,business ug,Business (UG)
BCBSB,business ug,Business (UG)
BCBIBs,business ug,Business (UG)
BCBFI,business ug,Business (UG)
UMBFI,business ug,Business (UG)
DIBFN,business ug,Business (UG)
DIBIBs,business ug,Business (UG)
DIBLM,business ug,Business (UG)
DIBMG,business ug,Business (UG)
DIBACs,business ug,Business (UG)
DIBBMs,business ug,Business (UG)
PDEEG,engineering pg,Engineering (PG)
PDEIE,engineering pg,Engineering (PG)
PGESM,engineering pg,Engineering (PG)
PGEEG,engineering pg,Engineering (PG)
BCECH,engineering ug,Engineering (UG)
BCEVE,engineering ug,Engineering (UG)
BCEAI,engineering ug,Engineering (UG)
BCELE,engineering ug,Engineering (UG)
BCECE,engineering ug,Engineering (UG)
BCEQE,engineering ug,Engineering (UG)
BCENE,engineering ug,Engineering (UG)
BCEME,engineering ug,Engineering (UG)
BCEKE,engineering ug,Engineering (UG)
BCEPT,engineering ug,Engineering (UG)
HYEG,engineering ug,Engineering (UG)
DYEE,engineering ug,Engineering (UG)
DIEMS,engineering ug,Engineering (UG)
DIETD,engineering ug,Engineering (UG)
BCPFS,formula sc,FPS (UG)
GDSEDb,fossla pg,FOSSLA (PG)
PDSEDb,fossla pg,FOSSLA (PG)
PDSED,fossla pg,FOSSLA (PG)
PGSCP,fossla pg,FOSSLA (PG)
UMSCP,fossla pg,FOSSLA (PG)
PGSCPb,fossla pg,FOSSLA (PG)
PGSLP,fossla pg,FOSSLA (PG)
PGSED,fossla pg,FOSSLA (PG)
PGSCE,fossla pg,FOSSLA (PG)
PGDTT,fossla pg,FOSSLA (PG)
